agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"El Paso, Texas",1,676665,"Murders",19,17,11.76%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Norfolk, Virginia",1,230849,"Murders",19,27,-29.63%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"North Las Vegas, Nevada",1,290751,"Murders",18,30,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Jefferson Parish, Louisiana",1,321980,"Murders",17,17,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Montgomery County, Maryland",1,896963,"Murders",17,17,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"East Baton Rouge Parish, Louisiana",1,197853,"Murders",16,34,-52.94%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Greenville County, South Carolina",1,379428,"Murders",16,18,-11.11%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Mesa, Arizona",1,515848,"Murders",16,12,33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Portsmouth, Virginia",1,96649,"Murders",15,31,-51.61%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Tacoma, Washington",1,222828,"Murders",15,19,-21.05%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Vallejo, California",1,122419,"Murders",15,20,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Albany, Georgia",1,66281,"Murders",14,16,-12.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Chattanooga, Tennessee",1,185370,"Murders",14,22,-36.36%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Johnston County, North Carolina",1,177923,"Murders",14,2,600.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Killeen, Texas",1,161968,"Murders",14,19,-26.32%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lake Charles, Louisiana",1,76393,"Murders",14,10,40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New Haven, Connecticut",1,141481,"Murders",14,9,55.56%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Reno, Nevada",1,277792,"Murders",14,18,-22.22%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Springfield, Massachusetts",1,154218,"Murders",14,16,-12.50%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Chesterfield County, Virginia",1,385204,"Murders",13,11,18.18%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Clarksville, Tennessee",1,181916,"Murders",13,8,62.50%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Corpus Christi, Texas",1,315340,"Murders",13,25,-48.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lexington, Kentucky",1,319994,"Murders",13,16,-18.75%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Paterson, New Jersey",1,155991,"Murders",13,8,62.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Sacramento County, California",1,604738,"Murders",13,19,-31.58%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Arlington, Texas",1,394799,"Murders",12,12,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fontana, California",1,214429,"Murders",12,2,500.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hartford, Connecticut",1,120710,"Murders",12,16,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Horry County, South Carolina",1,302018,"Murders",12,7,71.43%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Jackson, Tennessee",1,68470,"Murders",12,15,-20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Knoxville, Tennessee",1,198132,"Murders",12,20,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Mesquite, Texas",1,147926,"Murders",12,5,140.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Toledo, Ohio",1,264341,"Murders",12,18,-33.33%,"Jan - Jul 2025",2025-12-16 15:08:46 EST
"Berkeley County, South Carolina",1,142756,"Murders",11,8,37.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"El Paso County, Colorado",1,207095,"Murders",11,7,57.14%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Grand Rapids, Michigan",1,196019,"Murders",11,11,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Jersey City, New Jersey",1,285117,"Murders",11,6,83.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Newport News, Virginia",1,183600,"Murders",11,17,-35.29%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Roanoke, Virginia",1,96925,"Murders",11,7,57.14%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"San Diego County, California",1,519218,"Murders",11,25,-56.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St. Paul, Minnesota",1,300368,"Murders",11,22,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Virginia Beach, Virginia",1,453991,"Murders",11,12,-8.33%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Lubbock, Texas",1,266960,"Murders",10,11,-9.09%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Riverside, California",1,323473,"Murders",10,11,-9.09%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Rocky Mount, North Carolina",1,53865,"Murders",10,2,400.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Albany, New York",1,101930,"Murders",9,9,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Anaheim, California",1,343147,"Murders",9,10,-10.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Anderson County, South Carolina",1,164574,"Murders",9,7,28.57%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Chesapeake, Virginia",1,254051,"Murders",9,9,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Greeley, Colorado",1,109183,"Murders",9,4,125.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
