__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
147,"Fargo, North Dakota",134268,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
148,"Forsyth County, North Carolina",111773,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
149,"Guilford County, North Carolina",130423,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
150,"Henderson, Nevada",337794,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
151,"Howard County, Maryland",337780,-33.33%,Jan - Jun 2025,2025-12-16 15:08:46 EST
152,"Janesville, Wisconsin",66033,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
153,"Jefferson County, Missouri",167018,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
154,"Kaufman County, Texas",111179,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
155,"Lancaster County, South Carolina",100080,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
156,"Lee's Summit, Missouri",104402,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
157,"Lenexa, Kansas",59161,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
158,"Longview, Texas",82981,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
159,"Midwest City, Oklahoma",57696,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
160,"Nassau County, New York",1077192,300.00%,Jan - Apr 2025,2025-12-16 15:08:46 EST
161,"National City, California",55270,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
162,"New Bedford, Massachusetts",100876,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
163,"Norman, Oklahoma",130366,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
164,"Peoria, Arizona",200886,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
165,"Pima County, Arizona",365222,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
166,"Pontiac, Michigan",61871,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
167,"Port Arthur, Texas",55371,-20.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
168,"Schenectady, New York",69035,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
169,"St. Cloud, Minnesota",69922,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
170,"St. George, Utah",105930,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
171,"Travis County, Texas",277111,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
172,"West Jordan, Utah",116485,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
173,"Youngstown, Ohio",58773,-20.00%,Jan - May 2025,2025-12-16 15:08:46 EST
174,"Bellevue, Nebraska",62372,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
175,"Boulder, Colorado",104232,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
176,"Bridgeport, Connecticut",148483,-72.73%,Jan - Oct 2025,2025-12-16 15:08:46 EST
177,"Burlington, North Carolina",60156,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
178,"Canton Township, Michigan",98915,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
179,"Chula Vista, California",280748,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
180,"Clovis, California",126552,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
181,"Denton County, Texas",160587,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
182,"Erie, Pennsylvania",92920,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
183,"Escondido, California",149837,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
184,"Fall River, Massachusetts",93879,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
185,"Forsyth County, Georgia",267417,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
186,"Fort Collins, Colorado",168886,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
187,"Frisco, Texas",228527,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
188,"Grand Prairie, Texas",205487,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
189,"Hall County, Georgia",148922,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
190,"Hammond, Indiana",75990,50.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
191,"Henrico County, Virginia",334046,-81.25%,Jan - Sep 2025,2025-12-16 15:08:46 EST
192,"Henry County, Georgia",172407,-25.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
193,"Johns Creek, Georgia",82646,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
194,"Jonesboro, Arkansas",80395,0.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
195,"Kalamazoo County, Michigan",108458,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
196,"Kannapolis, North Carolina",56479,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
197,"Lafayette, Louisiana",121361,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
198,"Lexington County, South Carolina",232613,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
199,"Livingston Parish, Louisiana",134038,-57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
200,"Loudoun County, Virginia",378299,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
201,"Lynn, Massachusetts",101144,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
202,"Madison, Wisconsin",274234,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
203,"Odessa, Texas",111922,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
204,"Owensboro, Kentucky",59937,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
205,"Oxnard, California",199508,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
