__lineyka_row_id,agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
248,"West Jordan, Utah",1,116485,Murders,4,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
249,"Youngstown, Ohio",1,58773,Murders,4,5,-20.00%,Jan - May 2025,2025-12-16 15:08:46 EST
250,"Bellevue, Nebraska",1,62372,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
251,"Boulder, Colorado",1,104232,Murders,3,0,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
252,"Bridgeport, Connecticut",1,148483,Murders,3,11,-72.73%,Jan - Oct 2025,2025-12-16 15:08:46 EST
253,"Burlington, North Carolina",1,60156,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
254,"Canton Township, Michigan",1,98915,Murders,3,3,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
255,"Chula Vista, California",1,280748,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
256,"Clovis, California",1,126552,Murders,3,2,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
257,"Denton County, Texas",1,160587,Murders,3,1,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
258,"Erie, Pennsylvania",1,92920,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
259,"Escondido, California",1,149837,Murders,3,2,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
260,"Fall River, Massachusetts",1,93879,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
261,"Forsyth County, Georgia",1,267417,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
262,"Fort Collins, Colorado",1,168886,Murders,3,3,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
263,"Frisco, Texas",1,228527,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
264,"Grand Prairie, Texas",1,205487,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
265,"Hall County, Georgia",1,148922,Murders,3,1,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
266,"Hammond, Indiana",1,75990,Murders,3,2,50.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
267,"Henrico County, Virginia",1,334046,Murders,3,16,-81.25%,Jan - Sep 2025,2025-12-16 15:08:46 EST
268,"Henry County, Georgia",1,172407,Murders,3,4,-25.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
269,"Johns Creek, Georgia",1,82646,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
270,"Jonesboro, Arkansas",1,80395,Murders,3,3,0.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
271,"Kalamazoo County, Michigan",1,108458,Murders,3,3,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
272,"Kannapolis, North Carolina",1,56479,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
273,"Lafayette, Louisiana",1,121361,Murders,3,9,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
274,"Lexington County, South Carolina",1,232613,Murders,3,5,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
275,"Livingston Parish, Louisiana",1,134038,Murders,3,7,-57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
276,"Loudoun County, Virginia",1,378299,Murders,3,5,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
277,"Lynn, Massachusetts",1,101144,Murders,3,3,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
278,"Madison, Wisconsin",1,274234,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
279,"Odessa, Texas",1,111922,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
280,"Owensboro, Kentucky",1,59937,Murders,3,1,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
281,"Oxnard, California",1,199508,Murders,3,5,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
282,"Parker County, Texas",1,114776,Murders,3,2,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
283,"Pasadena, Texas",1,145850,Murders,3,5,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
