__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
174,"Jacksonville, North Carolina",69340,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
175,"Lakewood, Colorado",156065,100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
176,"Laredo, Texas",256542,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
177,"Lewisville, Texas",133694,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
178,"Madera, California",68862,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
179,"Monterey County, California",103695,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
180,"North Little Rock, Arkansas",64612,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
181,"North Richland Hills, Texas",70853,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
182,"Prince William County, Virginia",480467,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
183,"Salt Lake City, Utah",206692,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
184,"Santa Rosa, California",176855,200.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
185,"Sarasota County, Florida",294526,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
186,"Tyler, Texas",110824,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
187,"West Valley, Utah",135023,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
188,"Albemarle County, Virginia",115659,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
189,"Antioch, California",115271,-64.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
190,"Colerain Township, Ohio",58268,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
191,"Columbia, Missouri",129602,-58.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
192,"Elk Grove, California",177976,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
193,"Evansville, Indiana",114950,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
194,"Fairfax County, Virginia",1094031,-54.55%,Jan - Jul 2025,2025-12-16 15:08:46 EST
195,"Fairfield, California",119071,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
196,"Fort Smith, Arkansas",90417,NaN%,Jan - Aug 2025,2025-12-16 15:08:46 EST
197,"Gastonia, North Carolina",83739,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
198,"Greenwood, Indiana",66131,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
199,"Hamilton County, Ohio",122218,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
200,"High Point, North Carolina",115490,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
201,"Lincoln, Nebraska",293155,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
202,"Merced, California",94125,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
203,"New Hanover County, North Carolina",105363,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
204,"Oceanside, California",171348,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
205,"Santa Maria, California",110317,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
206,"Scottsdale, Arizona",243644,400.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
207,"Sioux Falls, South Dakota",206559,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
208,"Spotsylvania County, Virginia",149957,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
209,"Tempe, Arizona",188144,25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
210,"Visalia, California",145031,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
211,"Wake County, North Carolina",198748,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
212,"Abilene, Texas",128387,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
213,"Beaufort County, South Carolina",132948,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
214,"Billings, Montana",121365,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
215,"Buncombe County, North Carolina",158547,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
216,"Carlsbad, California",113796,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
217,"Cedar Rapids, Iowa",135777,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
218,"Chandler, Arizona",282419,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
219,"Collin County, Texas",95286,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
220,"Conway, Arkansas",69315,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
221,"Davenport, Iowa",99911,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
222,"Duluth, Minnesota",86570,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
223,"Fargo, North Dakota",134268,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
224,"Forsyth County, North Carolina",111773,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
225,"Guilford County, North Carolina",130423,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
226,"Henderson, Nevada",337794,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
227,"Howard County, Maryland",337780,-33.33%,Jan - Jun 2025,2025-12-16 15:08:46 EST
228,"Janesville, Wisconsin",66033,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
229,"Jefferson County, Missouri",167018,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
230,"Kaufman County, Texas",111179,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
231,"Lancaster County, South Carolina",100080,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
232,"Lee's Summit, Missouri",104402,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
233,"Lenexa, Kansas",59161,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
234,"Longview, Texas",82981,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
235,"Midwest City, Oklahoma",57696,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
236,"Nassau County, New York",1077192,300.00%,Jan - Apr 2025,2025-12-16 15:08:46 EST
237,"National City, California",55270,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
238,"New Bedford, Massachusetts",100876,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
239,"Norman, Oklahoma",130366,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
240,"Peoria, Arizona",200886,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
241,"Pima County, Arizona",365222,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
